,fold,p.adj
FBXO43,2.34318754523651,7.3186946861377e-12
PLEKHH2,-2.78700836145499,1.22284794056603e-20
FCER1A,-3.23791590701905,1.29559812374193e-18
RAB37,-2.67956066049883,1.64265412656562e-24
SFTPA1,-7.86720021016726,8.3703343631328e-30
CA8,-2.06781695584604,0.00582399077877801
STAR,2.95334830710017,0.000182432833458175
SLC16A11,-2.44569124002222,6.91824508202969e-15
PLEKHN1,2.19479706324474,1.11391160307903e-09
KIF18A,2.05564513189267,1.2649263603761e-18
FABP4,-5.76503929379088,8.37971974269993e-16
ORM2,-2.96535102289579,0.0148242260663927
CTNND2,-2.93511401626087,1.69810844110688e-06
LRRC2,-2.7971785400922,8.33513484287346e-12
DSC1,2.73838377712182,0.00236287654180661
SLC46A2,-5.0255871005527,4.76889945623258e-28
ITIH5,-3.67493162813365,2.27097625553822e-19
FBN2,2.93433805846424,8.32514918353819e-05
WSCD1,-2.15670313405508,0.00133435365681607
GNMT,-2.40922535541126,3.33401849939377e-14
RP11-830F9.6,-2.51944486487939,1.33402178977405e-21
PDE1B,-2.33456840266563,2.83072510495566e-21
HOXC13,5.16052761898953,5.95257580897994e-13
CYYR1,-2.71100022296454,1.16924065314224e-23
KIAA1462,-2.93859043479962,8.8479807450217e-25
MVB12B,-2.24000425454548,1.77531031289022e-22
PKP1,5.08883975881207,1.58037307801466e-12
PPP1R14A,-3.18780346534973,6.86820283161272e-24
CDKN2A,2.91459706532676,6.45279751261284e-10
MCM8,2.15522026848966,6.14042961371254e-22
MLF1IP,3.02860696694128,8.77284108632573e-14
FGF18,-2.9719363670946,3.67655978283802e-19
KRT6B,7.09210136076465,6.42757639701991e-05
SAPCD2,4.19620933735191,3.82063934160939e-11
A2ML1,5.69954030022846,2.292604501904e-05
LEPR,-3.0253865403853,1.4740414331141e-18
CTB-133G6.1,-2.97552646652365,1.0312805609355e-07
C12orf54,3.09893244142711,1.28601843695127e-06
MSRB3,-2.16960626797392,8.53837778239012e-22
SSTR1,-4.54775998441586,4.93475675712226e-17
PPP1R9A,-2.37932629285542,6.32699490756737e-06
TSC22D3,-2.13920079031131,2.81309798578703e-13
ATAD3C,-2.04398670863552,1.05970497700124e-14
C1orf173,-3.3522582584652,0.000122409680032168
GYPC,-2.59019600760045,1.68652409491771e-34
GPR146,-2.70359040271421,5.88871194710826e-24
GPC2,2.39584199074406,8.546967970296e-05
RASAL1,3.46746774551464,1.05661899349001e-08
C21orf128,-2.70101775624267,0.00335412211999043
KDR,-2.46640069993926,8.55116413173289e-17
FAM111B,3.09786259345903,8.85624879121862e-09
SERTM1,-5.28904180496243,1.47552051016897e-10
SPRR2E,5.30758303567595,0.00761829597884266
MLIP,2.06644843228354,0.000677678953734988
FAXDC2,-3.40140252288094,3.56302169558942e-25
PCSK2,-3.96463935511911,2.77831438935647e-09
CTD-3214H19.16,-5.10001065036723,1.53470319209094e-05
DUSP26,-2.61433368863178,2.59426294697946e-05
LYPD3,5.04540584953252,8.06131743883266e-09
TENC1,-2.51639856093459,8.56369712813248e-34
IL36A,2.22395864649814,0.00117507013422858
ZBBX,-3.273008864091,0.000357843406495693
MAGEA2,2.82987982698591,0.000977750994761535
NDNF,-5.20524384874644,2.58029735645596e-38
SMAD9,-2.28961614120006,9.80196659074039e-21
PPBP,-5.14594852472804,2.13897758324737e-07
STXBP6,-2.97143180692244,5.51643086999677e-15
C2orf54,-2.68222507722235,4.05738164361908e-14
FAM105A,-3.04579834004771,3.18601900663317e-28
IYD,-2.62479292778453,9.24901586222662e-18
FEZF1,2.79765804125923,1.65467683249431e-05
ROBO2,-2.30383118421553,2.63587342796895e-10
C17orf99,2.20495179012934,5.06676231168773e-05
MFNG,-2.52580270457097,8.27494224111914e-37
STIL,2.83658360166587,1.47332518936042e-15
FREM1,-2.21603081735964,3.21487921159652e-13
AARD,-3.21839903249374,7.6534732124911e-13
CD33,-2.55841184451912,6.09100243406079e-30
PLCH2,2.26080816950154,1.07417799876218e-08
MATN3,-2.38256750272904,6.0924056012006e-10
GPRIN1,2.48755804347608,1.18523610075681e-11
TMEM178A,-2.91312007173281,1.64927445151045e-11
KLRD1,-2.10676942192392,6.65174640371683e-16
ALOX5AP,-3.26380187989529,2.12821765959417e-24
CLIC3,-3.30298645221967,5.77073867446239e-25
CILP2,2.44786310668883,8.47250776071414e-06
TTPA,-2.23319370931141,0.000476240031524417
PYCR1,2.61619720727402,1.03298234619205e-14
LCE3A,2.35184043527559,0.025961509171262
SCN1A,-4.22514118847092,5.98183221266702e-16
MAP1LC3C,-4.39481809151203,6.40989622880636e-20
MMP10,4.33940352836269,0.000294048348880585
MYZAP,-4.76221706014484,8.26899420619552e-22
BTNL8,-3.39756502081104,2.56637870815269e-15
MGAT3,-2.98420105994019,3.83472320235724e-13
FKSG48,2.45446269482715,9.63665338506373e-06
PRAME,6.48204121980636,1.04616884153677e-09
GGTLC3,-3.19030228531381,7.18149494557742e-07
HLA-DRB1,-2.55520049968902,1.76665123342079e-13
FCER1G,-2.07940007206668,1.15006476372556e-21
SYPL2,-2.09516124519895,1.022965515246e-15
